"TU_RLTY_KID";"Полный адрес";"Нас. пункт";"Тип нас.пункта";"Тип улицы";"Улица";"№ дома";"Строение";"Квартира/Помещение";"ФИАС дома"
"5791958";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 32";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"32";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791960";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 33";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"33";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791962";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 34";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"34";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791964";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 35";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"35";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791966";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 36";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"36";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791968";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 37";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"37";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791970";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 38";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"38";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791972";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 39";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"39";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791908";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 4";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"4";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791974";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 40";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"40";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791976";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 41";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"41";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791978";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 42";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"42";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791980";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 43";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"43";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791982";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 44";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"44";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791910";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 5";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"5";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791912";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 6";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"6";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791896";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 7";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"7";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791898";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 8";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"8";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"5791900";"Нововятский р-н, ул. Героя Рослякова, д. 6, кв. 9";"Нововятский";" ";"ул.";"Героя Рослякова";"6";"";"9";"37c5b19c-5e8c-4c61-b99e-790c525ae5d5"
"4344453";"Нововятский р-н, ул. Героя Рослякова, д. 7";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5680932";"Нововятский р-н, ул. Героя Рослякова, д. 7";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702493";"Нововятский р-н, ул. Героя Рослякова, д. 7";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702505";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 1";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"1";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702523";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 10";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"10";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702525";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 11";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"11";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702527";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 12";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"12";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702529";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 13";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"13";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702531";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 14";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"14";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702533";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 15";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"15";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702535";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 16";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"16";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702537";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 17";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"17";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702539";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 18";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"18";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702541";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 19";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"19";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702507";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 2";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"2";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702543";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 20";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"20";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702545";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 21";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"21";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702547";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 22";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"22";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702549";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 23";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"23";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702551";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 24";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"24";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702553";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 25";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"25";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5702555";"Нововятский р-н, ул. Героя Рослякова, д. 7, кв. 26";"Нововятский";" ";"ул.";"Героя Рослякова";"7";"";"26";"c0459606-35f8-4540-8497-3c561c0fb80b"
"5790034";"г. Киров, пер. Вершининский, д. 3, кв. 123";"Киров";"г.";"пер.";"Вершининский";"3";"";"123";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790036";"г. Киров, пер. Вершининский, д. 3, кв. 124";"Киров";"г.";"пер.";"Вершининский";"3";"";"124";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790038";"г. Киров, пер. Вершининский, д. 3, кв. 125";"Киров";"г.";"пер.";"Вершининский";"3";"";"125";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790040";"г. Киров, пер. Вершининский, д. 3, кв. 126";"Киров";"г.";"пер.";"Вершининский";"3";"";"126";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790042";"г. Киров, пер. Вершининский, д. 3, кв. 127";"Киров";"г.";"пер.";"Вершининский";"3";"";"127";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790044";"г. Киров, пер. Вершининский, д. 3, кв. 128";"Киров";"г.";"пер.";"Вершининский";"3";"";"128";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790046";"г. Киров, пер. Вершининский, д. 3, кв. 129";"Киров";"г.";"пер.";"Вершининский";"3";"";"129";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789814";"г. Киров, пер. Вершининский, д. 3, кв. 13";"Киров";"г.";"пер.";"Вершининский";"3";"";"13";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790048";"г. Киров, пер. Вершининский, д. 3, кв. 130";"Киров";"г.";"пер.";"Вершининский";"3";"";"130";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790050";"г. Киров, пер. Вершининский, д. 3, кв. 131";"Киров";"г.";"пер.";"Вершининский";"3";"";"131";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790052";"г. Киров, пер. Вершининский, д. 3, кв. 132";"Киров";"г.";"пер.";"Вершининский";"3";"";"132";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790054";"г. Киров, пер. Вершининский, д. 3, кв. 133";"Киров";"г.";"пер.";"Вершининский";"3";"";"133";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790056";"г. Киров, пер. Вершининский, д. 3, кв. 134";"Киров";"г.";"пер.";"Вершининский";"3";"";"134";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5790058";"г. Киров, пер. Вершининский, д. 3, кв. 135";"Киров";"г.";"пер.";"Вершининский";"3";"";"135";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789816";"г. Киров, пер. Вершининский, д. 3, кв. 14";"Киров";"г.";"пер.";"Вершининский";"3";"";"14";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789818";"г. Киров, пер. Вершининский, д. 3, кв. 15";"Киров";"г.";"пер.";"Вершининский";"3";"";"15";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789820";"г. Киров, пер. Вершининский, д. 3, кв. 16";"Киров";"г.";"пер.";"Вершининский";"3";"";"16";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789822";"г. Киров, пер. Вершининский, д. 3, кв. 17";"Киров";"г.";"пер.";"Вершининский";"3";"";"17";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789824";"г. Киров, пер. Вершининский, д. 3, кв. 18";"Киров";"г.";"пер.";"Вершининский";"3";"";"18";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789826";"г. Киров, пер. Вершининский, д. 3, кв. 19";"Киров";"г.";"пер.";"Вершининский";"3";"";"19";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789792";"г. Киров, пер. Вершининский, д. 3, кв. 2";"Киров";"г.";"пер.";"Вершининский";"3";"";"2";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789828";"г. Киров, пер. Вершининский, д. 3, кв. 20";"Киров";"г.";"пер.";"Вершининский";"3";"";"20";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789830";"г. Киров, пер. Вершининский, д. 3, кв. 21";"Киров";"г.";"пер.";"Вершининский";"3";"";"21";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789832";"г. Киров, пер. Вершининский, д. 3, кв. 22";"Киров";"г.";"пер.";"Вершининский";"3";"";"22";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789834";"г. Киров, пер. Вершининский, д. 3, кв. 23";"Киров";"г.";"пер.";"Вершининский";"3";"";"23";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789836";"г. Киров, пер. Вершининский, д. 3, кв. 24";"Киров";"г.";"пер.";"Вершининский";"3";"";"24";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789838";"г. Киров, пер. Вершининский, д. 3, кв. 25";"Киров";"г.";"пер.";"Вершининский";"3";"";"25";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789840";"г. Киров, пер. Вершининский, д. 3, кв. 26";"Киров";"г.";"пер.";"Вершининский";"3";"";"26";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789842";"г. Киров, пер. Вершининский, д. 3, кв. 27";"Киров";"г.";"пер.";"Вершининский";"3";"";"27";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789844";"г. Киров, пер. Вершининский, д. 3, кв. 28";"Киров";"г.";"пер.";"Вершининский";"3";"";"28";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789846";"г. Киров, пер. Вершининский, д. 3, кв. 29";"Киров";"г.";"пер.";"Вершининский";"3";"";"29";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789794";"г. Киров, пер. Вершининский, д. 3, кв. 3";"Киров";"г.";"пер.";"Вершининский";"3";"";"3";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789848";"г. Киров, пер. Вершининский, д. 3, кв. 30";"Киров";"г.";"пер.";"Вершининский";"3";"";"30";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789850";"г. Киров, пер. Вершининский, д. 3, кв. 31";"Киров";"г.";"пер.";"Вершининский";"3";"";"31";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789852";"г. Киров, пер. Вершининский, д. 3, кв. 32";"Киров";"г.";"пер.";"Вершининский";"3";"";"32";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789854";"г. Киров, пер. Вершининский, д. 3, кв. 33";"Киров";"г.";"пер.";"Вершининский";"3";"";"33";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789856";"г. Киров, пер. Вершининский, д. 3, кв. 34";"Киров";"г.";"пер.";"Вершининский";"3";"";"34";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789858";"г. Киров, пер. Вершининский, д. 3, кв. 35";"Киров";"г.";"пер.";"Вершининский";"3";"";"35";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789860";"г. Киров, пер. Вершининский, д. 3, кв. 36";"Киров";"г.";"пер.";"Вершининский";"3";"";"36";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789862";"г. Киров, пер. Вершининский, д. 3, кв. 37";"Киров";"г.";"пер.";"Вершининский";"3";"";"37";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789864";"г. Киров, пер. Вершининский, д. 3, кв. 38";"Киров";"г.";"пер.";"Вершининский";"3";"";"38";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789866";"г. Киров, пер. Вершининский, д. 3, кв. 39";"Киров";"г.";"пер.";"Вершининский";"3";"";"39";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789796";"г. Киров, пер. Вершининский, д. 3, кв. 4";"Киров";"г.";"пер.";"Вершининский";"3";"";"4";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789868";"г. Киров, пер. Вершининский, д. 3, кв. 40";"Киров";"г.";"пер.";"Вершининский";"3";"";"40";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789870";"г. Киров, пер. Вершининский, д. 3, кв. 41";"Киров";"г.";"пер.";"Вершининский";"3";"";"41";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789872";"г. Киров, пер. Вершининский, д. 3, кв. 42";"Киров";"г.";"пер.";"Вершининский";"3";"";"42";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789874";"г. Киров, пер. Вершининский, д. 3, кв. 43";"Киров";"г.";"пер.";"Вершининский";"3";"";"43";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789876";"г. Киров, пер. Вершининский, д. 3, кв. 44";"Киров";"г.";"пер.";"Вершининский";"3";"";"44";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789878";"г. Киров, пер. Вершининский, д. 3, кв. 45";"Киров";"г.";"пер.";"Вершининский";"3";"";"45";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789880";"г. Киров, пер. Вершининский, д. 3, кв. 46";"Киров";"г.";"пер.";"Вершининский";"3";"";"46";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789882";"г. Киров, пер. Вершининский, д. 3, кв. 47";"Киров";"г.";"пер.";"Вершининский";"3";"";"47";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789884";"г. Киров, пер. Вершининский, д. 3, кв. 48";"Киров";"г.";"пер.";"Вершининский";"3";"";"48";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789886";"г. Киров, пер. Вершининский, д. 3, кв. 49";"Киров";"г.";"пер.";"Вершининский";"3";"";"49";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789798";"г. Киров, пер. Вершининский, д. 3, кв. 5";"Киров";"г.";"пер.";"Вершининский";"3";"";"5";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"5789888";"г. Киров, пер. Вершининский, д. 3, кв. 50";"Киров";"г.";"пер.";"Вершининский";"3";"";"50";"9146fe4a-1e8e-4d08-9d4d-cac94e1db543"
"4377879";"г. Киров, пр-т  Октябрьский, д. 80, кв. 50";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"50";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4401697";"г. Киров, пр-т  Октябрьский, д. 80, кв. 51";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"51";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4702175";"г. Киров, пр-т  Октябрьский, д. 80, кв. 54";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"54";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4442189";"г. Киров, пр-т  Октябрьский, д. 80, кв. 55";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"55";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4499957";"г. Киров, пр-т  Октябрьский, д. 80, кв. 56";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"56";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4506259";"г. Киров, пр-т  Октябрьский, д. 80, кв. 57";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"57";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4550223";"г. Киров, пр-т  Октябрьский, д. 80, кв. 58";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"58";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544135";"г. Киров, пр-т  Октябрьский, д. 80, кв. 59";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"59";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4531571";"г. Киров, пр-т  Октябрьский, д. 80, кв. 6";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"6";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4487423";"г. Киров, пр-т  Октябрьский, д. 80, кв. 60";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"60";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4755785";"г. Киров, пр-т  Октябрьский, д. 80, кв. 61";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"61";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4383807";"г. Киров, пр-т  Октябрьский, д. 80, кв. 62";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"62";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4593177";"г. Киров, пр-т  Октябрьский, д. 80, кв. 63";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"63";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4599529";"г. Киров, пр-т  Октябрьский, д. 80, кв. 64";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"64";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4642595";"г. Киров, пр-т  Октябрьский, д. 80, кв. 65";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"65";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4675859";"г. Киров, пр-т  Октябрьский, д. 80, кв. 66";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"66";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4401699";"г. Киров, пр-т  Октябрьский, д. 80, кв. 67";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"67";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4630119";"г. Киров, пр-т  Октябрьский, д. 80, кв. 68";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"68";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4750049";"г. Киров, пр-т  Октябрьский, д. 80, кв. 69";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"69";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4568881";"г. Киров, пр-т  Октябрьский, д. 80, кв. 7";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"7";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544137";"г. Киров, пр-т  Октябрьский, д. 80, кв. 70";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"70";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4580917";"г. Киров, пр-т  Октябрьский, д. 80, кв. 71";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"71";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4401701";"г. Киров, пр-т  Октябрьский, д. 80, кв. 75";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"75";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4377881";"г. Киров, пр-т  Октябрьский, д. 80, кв. 76";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"76";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4645949";"г. Киров, пр-т  Октябрьский, д. 80, кв. 77";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"77";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4461751";"г. Киров, пр-т  Октябрьский, д. 80, кв. 78";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"78";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544139";"г. Киров, пр-т  Октябрьский, д. 80, кв. 79";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"79";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544131";"г. Киров, пр-т  Октябрьский, д. 80, кв. 8";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"8";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4567183";"г. Киров, ул. Воровского, д. 155, кв. 81";"Киров";"г.";"ул.";"Воровского";"155";"";"81";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4652915";"г. Киров, ул. Воровского, д. 155, кв. 82";"Киров";"г.";"ул.";"Воровского";"155";"";"82";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4517313";"г. Киров, ул. Воровского, д. 155, кв. 83";"Киров";"г.";"ул.";"Воровского";"155";"";"83";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4536139";"г. Киров, ул. Воровского, д. 155, кв. 84";"Киров";"г.";"ул.";"Воровского";"155";"";"84";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
